Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,425,67024,41004,23990,3756,8264,194,17756,86887,17,309
D:\Dokumente\Git\Fusee_Fork\src\Engine,425,67024,41004,23990,3756,8264,194,17756,86887,17,309
D:\Dokumente\Git\Fusee_Fork\src\Engine\Common,55,5075,1489,772,0,425,3,3161,14420,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Common\Properties,1,37,15,3,0,5,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Core,62,15915,9018,5341,846,1830,53,5067,25210,0,11
D:\Dokumente\Git\Fusee_Fork\src\Engine\Core\GUI,6,1515,877,530,59,231,0,407,2000,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Core\Properties,1,38,16,3,0,5,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples,140,14797,10270,6329,696,2656,50,1871,10082,17,92
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\MeshingAround,6,410,278,142,13,62,2,70,472,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\MeshingAround\Core,2,209,143,73,1,39,2,27,226,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\MeshingAround\Core\Properties,1,31,15,4,0,3,0,13,67,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\MeshingAround\Desktop,2,97,63,34,4,12,0,22,125,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\MeshingAround\Desktop\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\MeshingAround\Web,2,104,72,35,8,11,0,21,121,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\MeshingAround\Web\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\S3DVideo,6,541,376,241,20,80,0,85,570,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\S3DVideo\Core,2,339,240,171,8,57,0,42,324,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\S3DVideo\Core\Properties,1,31,15,4,0,3,0,13,67,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\S3DVideo\Desktop,2,98,64,35,4,12,0,22,125,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\S3DVideo\Desktop\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\S3DVideo\Web,2,104,72,35,8,11,0,21,121,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\S3DVideo\Web\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple,11,966,672,405,48,143,1,151,961,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple\Android,5,534,376,230,33,80,1,78,479,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple\Android\Properties,1,24,12,3,0,3,0,9,71,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple\Android\Resources,1,91,56,26,0,21,0,14,50,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple\Core,2,230,160,105,3,40,0,30,236,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple\Core\Properties,1,31,15,4,0,3,0,13,67,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple\Desktop,2,98,64,35,4,12,0,22,125,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple\Desktop\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple\Web,2,104,72,35,8,11,0,21,121,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\Simple\Web\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\SoundTest,7,470,317,184,50,97,7,56,343,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\SoundTest\Core,3,343,251,154,50,77,7,15,99,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\SoundTest\Core\Properties,1,31,15,4,0,3,0,13,67,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\SoundTest\Desktop,2,63,33,15,0,10,0,20,117,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\SoundTest\Desktop\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\SoundTest\Web,2,64,33,15,0,10,0,21,127,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\SoundTest\Web\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\ThreeDFont,7,621,440,263,43,105,1,76,569,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\ThreeDFont\Core,3,419,304,193,31,82,1,33,323,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\ThreeDFont\Core\Properties,1,31,15,4,0,3,0,13,67,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\ThreeDFont\Desktop,2,98,64,35,4,12,0,22,125,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\ThreeDFont\Desktop\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\ThreeDFont\Web,2,104,72,35,8,11,0,21,121,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\ThreeDFont\Web\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy,103,11789,8187,5094,522,2169,39,1433,7167,17,92
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\AppBrowserWinForms,9,1063,782,474,61,137,5,144,694,0,1
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\AppBrowserWinForms\Properties,2,137,71,34,7,18,1,48,286,0,1
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\AudioTestEnvironment,2,228,160,93,14,34,0,34,156,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\AudioTestEnvironment\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\BlendingTest,2,246,164,93,5,41,0,41,186,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\BlendingTest\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\CubeAndTiles,6,1125,800,517,96,243,3,82,360,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\CubeAndTiles\Properties,1,37,15,3,0,5,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\HandOnCanvas,2,286,207,123,2,47,0,32,178,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\HandOnCanvas\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\InputDevices,2,123,78,44,5,25,0,20,116,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\InputDevices\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\KeyframeAnimationTest,3,167,122,82,0,31,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\KeyframeAnimationTest\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\LightTypeTest,10,391,316,183,2,59,0,16,96,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\LightTypeTest\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\LinqForGeometry,2,588,422,220,56,78,4,88,537,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\LinqForGeometry\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\MageExample,2,306,205,158,11,72,0,29,145,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\MageExample\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\ParticleSystem,2,335,227,155,12,64,0,44,192,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\ParticleSystem\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\PhysicsTest,4,845,623,448,27,180,2,42,180,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\PhysicsTest\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\PickingSimple,2,116,74,46,2,24,0,18,107,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\PickingSimple\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration,18,1675,1038,572,52,347,14,290,1591,17,91
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication,6,344,261,164,4,70,5,13,65,7,36
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\GeneratedFiles,1,143,111,84,1,25,4,7,41,7,36
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp,8,795,423,197,21,171,9,201,1189,10,55
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCs,4,536,354,211,27,106,0,76,337,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCs\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\RocketGame,8,940,742,444,34,178,1,20,126,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\RocketGame\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SceneViewer,2,348,251,147,10,66,0,31,146,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SceneViewer\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SerialisationExample,2,149,109,70,3,18,0,22,128,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SerialisationExample\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\ShaderDemo,2,706,514,384,33,118,2,74,319,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\ShaderDemo\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SolarSystem,8,851,510,320,14,125,0,216,680,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SolarSystem\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SoundTest,3,350,250,152,50,79,7,21,152,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SoundTest\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SpotTheDiff,2,221,139,99,5,54,0,28,140,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\SpotTheDiff\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\VideoTexture,2,172,93,56,10,42,0,37,237,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\VideoTexture\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\WebUnitTests,2,76,46,22,0,13,0,17,109,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\WebUnitTests\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\WindowSizesDemo,2,128,65,40,1,24,1,39,292,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\WindowSizesDemo\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\WorldRendering,4,354,250,152,17,70,0,34,207,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\WorldRendering\Properties,1,34,15,3,0,5,0,14,93,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp,135,27477,17892,10224,2031,2885,66,6700,31809,0,206
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\Font,3,73,40,20,0,13,0,20,117,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\Font\Desktop,3,73,40,20,0,13,0,20,117,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\Font\Desktop\Properties,1,37,15,3,0,5,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\Graphics,28,10308,6439,3529,744,1023,40,2846,14320,0,98
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\Graphics\Android,7,3543,2059,1137,230,337,7,1147,5599,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\Graphics\Android\Properties,1,31,15,4,0,3,0,13,67,0,0
D:\Dokumente\Git\Fusee_Fork\src\Engine\Imp\Graphics\Android\Resources,1,61,36,14,0,14,0,11,37,0,0
