Word,Count
/,483
the,177
</summary>,105
<summary>,104
to,103
of,96
a,91
<param,78
<returns></returns>,44
is,39
and,38
face,37
vertex,35
handle,32
for,31
parameter.</param>,29
half,29
be,28
comparison,28
new,27
in,24
edge,23
all,19
A,19
-,18
if,17
Overload,16
\name="\second"\>Second\,16
\name="\first"\>First\,16
operator,16
node,16
this,16
The,15
reference,15
edges,15
given,14
normal,14
2D,14
This,14
that,13
value,13
on,12
an,12
tree,12
as,12
are,12
one,11
with,11
it,11
contains,11
two,11
vertices,10
collection,10
information,10
handles,10
can,10
Vertices,10
Geometry,10
z,9
same,9
HalfEdge,9
or,9
boundary,9
faces,9
need,9
axis,8
vertex.</param>,8
than,8
<summary>Overwrites,8
Comparison,8
\"\smaller\,8
based,8
\than"\\,8
key,8
Contains,7
into,7
reduced,7
have,7
unbounded,7
HalfEdges,7
type,7
vertex</param>,7
assign,7
added,7
vertex',7
polygon,6
not,6
adjacent,6
\name="\vHandle"\>The\,6
first,6
its,6
outer,6
point,6
geometry,6
Attribute,6
will,6
data,6
by,6
create,5
lies,5
veretx,5
abstract,5
from,5
neighbours,5
existing,5
between,5
used,5
at,5
each,5
stored,5
case,5
belongs,5
his,5
face.</param>,4
list,4
interior,4
=,4
\name="\fHandle"\>The\,4
code.</returns>,4
line</param>,4
incident,4
DCEL,4
when,4
exception,4
<paramref,4
Each,4
Face,4
e.g,4
<returns>Handle,4
3D,4
Constructor,4
compared</param>,4
belonging,4
which,4
/>,4
thrown,4
angle,4
\Geometry,\,4
parameter,4
<typeparam,4
\<returns>true,\,4
inner,4
\name="\obj"\\,4
rotate,4
instance,4
!=,4
pi,4
==,4
represent,4
contains:,4
\name="\key"\>The\,4
second,4
has,4
visits,4
If,4
Faces',4
parallel,4
value.</returns>,4
him,4
already,4
until,4
\information,\,4
creating,4
Returns,4
always,4
TODO:,3
part,3
possible,3
smaller,3
x,3
coordinates,3
Represents,3
calculate,3
\name="\p"\>First\,3
whether,3
intersection,3
you,3
structure),3
OuterHalfEdge,3
(half,3
instead,3
Faces,3
other,3
hash,3
exists,3
GetHashCode</summary>,3
only,3
know,3
search,3
additional,3
values,3
coordinate,3
Assign,3
Tests,3
structure,3
assembly,3
Vertice,3
left,3
Version,3
traversal,3
highest,3
y,3
methodes,2
\polygon,\,2
neighbouring,2
Use,2
Vertex,2
right,2
\name="\q"\>Secound\,2
insert,2
target,2
\name="\obj"\>Object\,2
use,2
Build,2
methods,2
three,2
Change,2
backface,2
Checks,2
Provides,2
merge,2
control,2
payload,2
object,2
object.</param>,2
Preorder,2
does,2
starting,2
\name="\obj"\>Comparison\,2
node</param>,2
\sub-tree,\,2
below,2
works,2
product,2
Retruns,2
type.</typeparam>,2
VertHandle,2
To,2
Visites,2
Revision,2
cross,2
must,2
trees,2
</param>,2
\root,\,2
Inserts,2
generic,2
regular,2
certain,2
do,2
sweep,2
Dummy,2
old,2
previous,2
\"\2D"\\,2
loop,2
retrun,2
plane,2
using,2
Create,2
1,2
closed,2
p,2
%,2
found,2
following,2
Creates,2
we,2
helper,2
Add,2
winding,2
\name="\TK"\>The\,2
nromal,2
Assumption:,2
source,2
src,2
calculating,2
with.</param>,2
Key,2
ignored,2
points,2
HalfEdges',2
An,2
handle.</param>,2
above,2
\name="\src"\>Input\,2
line,2
call,2
position,2
component,2
become,2
Reduces,2
item,2
extrusion,2
1),2
sub-tree,2
Only,2
Check,2
hole,2
+,2
Handle,2
find,2
then,2
lines,2
compare,2
grater,2
\"\Equals"\.</summary>\,2
\name="\TV"\>The\,2
geometric,2
matrix,2
Set,2
neighbour,2
\geometry,\,2
types,2
Z,2
replace,2
buffer,2
ccw,2
after,2
rotating,2
default,2
therefor,2
(?),2
direct,2
origin,2
\both,\,1
transpose,1
\name="\heHandle"\>The\,1
Calculate,1
explanation,1
\Haines,\,1
geom3D.HighestHalfEdgeHandle,1
\AssemblyVersion("\1.0.*"\)]\,1
newFromP,1
defining,1
\name="\vertQStartHe"\>q\,1
status,1
Outline,1
identifies,1
identify,1
(key,1
there,1
Additionally,1
HighestFaceHandle,1
modify,1
prev,1
method,1
attribute,1
Updates,1
LeftNode,1
split,1
\name="\source"\>The\,1
Number,1
binary,1
directly,1
\cref="\Exception"\></exception>\,1
tested.</param>,1
support,1
four,1
\"\Equals"\</summary>\,1
ending,1
x-y,1
correct,1
forms,1
process,1
adjacant),1
float2(source[(i,1
equals,1
TODO:Check,1
Base,1
Finds,1
basis,1
containing,1
diagonal,1
\name="\key"\>Key\,1
\name="\geometry"\>The\,1
float3.</param>,1
Those,1
now,1
\name="\pos"\>The\,1
OuterComponent,1
edge</param>,1
meet,1
sorted,1
output,1
qStartHe,1
\name="\v"\>The\,1
consists,1
\transpose,\,1
rid,1
get,1
outlines,1
754,1
You,1
insertion,1
balanced,1
Franklin,1
UNTESTED!,1
bounded,1
-Infinity),1
possibly,1
value.</typeparam>,1
inverse,1
Faster,1
Texture,1
utility,1
\split,\,1
shown,1
inside,1
frontface,1
source[(i,1
Write,1
can't,1
stores,1
source.Count].y);,1
Points,1
change-of-basis,1
Real-Time,1
controlled,1
Tomas;,1
geometry.HighestHalfEdgeHandle,1
\end,\,1
xy,1
Origin,1
through,1
q,1
newFace,1
methode,1
\InsertFace,\,1
undbounded,1
orthonormal,1
(doubly,1
Used,1
Determines,1
how,1
exist,1
allows,1
no,1
for.</param>,1
odd,1
determines,1
to.</param>,1
\Antionio,\,1
Clones,1
sure,1
BoundaryEdge,1
whose,1
belong,1
but,1
initialisation,1
according,1
keys,1
InsertHalfEdge,1
faceHandle,1
make,1
Deletes,1
least,1
\start,\,1
work,1
conneted,1
\name="\value"\>Value\,1
Outer,1
calling,1
secornd,1
orthonomal,1
may,1
Node,1
It,1
\ignored,\,1
E.g,1
pieces,1
Data,1
\name="\outlines"\>A\,1
\name="\p4"\>Second\,1
Convert,1
functions,1
geometry.</param>,1
\name="\p2"\>Second\,1
(which,1
return,1
user,1
extruded.</param>,1
start,1
conditions,1
(2016):,1
(orthonormal,1
\name="\vertPStartHe"\>p\,1
fast,1
value),1
Numbers,1
them,1
\first,\,1
NOT,1
Extrudes,1
never,1
Delete,1
trinagulated,1
Outlines,1
\lookup,\,1
edges',1
InnerHalfEdge,1
values:,1
Can,1
inserted,1
point/vertex,1
monotone,1
Gets,1
face),1
polygons,1
processed,1
\name="\q"\>Second\,1
project,1
List<Face3D>,1
float3,1
partition,1
Calculates,1
outside,1
effective,1
(binary),1
\Rendering,\,1
Note,1
lower,1
Clone,1
\source.Count].x,\,1
vert,1
therfore,1
filled,1
\face,\,1
GetHashCode.</summary>,1
see,1
list),1
queue,1
before,1
pair,1
TriangulateMonotone,1
\name="\p1"\>First\,1
See:,1
halfedge.IncidentFace.OuterHalfEdge,1
Items,1
every,1
items,1
associated,1
(not,1
next,1
attributes,1
\coordinate,\,1
it's,1
\float2(source[i].x,\,1
twin,1
\Akenine-Möller,\,1
&,1
implementing,1
'*',1
Reduce2D,1
guarantee,1
front,1
For,1
HalfEdge(Handle),1
InsertVertex,1
representation,1
algorythm,1
Inorder,1
xz,1
different,1
deleted.</param>,1
whole,1
even,1
Traverses,1
\name="\firstP"\>First\,1
rotation,1
vectors,1
degenerate,1
General,1
higher,1
triangulation,1
needed,1
Next,1
/<summary>,1
intersect,1
\name="\faceHandle"\>The\,1
sub,1
delete,1
Naty,1
RightNode,1
Eric;,1
Equals</summary>,1
bondary,1
drawn,1
matrix),1
pStartHe,1
necessary,1
extrude,1
empty,1
createing,1
those,1
zOffset,1
reference</param>,1
uesed,1
origin.x,1
starts.</param>,1
back,1
vector,1
Else,1
order.</param>,1
axis:,1
more,1
tree.</param>,1
There,1
order,1
these,1
\name="\secP"\>Second\,1
List,1
coord,1
therefore,1
Minor,1
(non,1
>=,1
Needed,1
Information,1
Major,1
coplanar,1
\name="\p3"\>First\,1
\Both,\,1
deletion,1
yz,1
MakeMonotone,1
holes,1
\"\old"\\,1
optimized,1
represented,1
see:,1
source[i].y);,1
(m,1
content,1
texture,1
\outlines,\,1
edge),1
largest,1
HighestVertexHandle,1
nodes,1
about,1
\"\else"\\,1
hit,1
(1992),1
functionality,1
necessity,1
Balances,1
<exception,1
In,1
Jometri,1
BalanceTree,1
Round,1
priority,1
end,1
key.</typeparam>,1
\name="\value"\>Payload\,1
potential,1
half-edge,1
set,1
distinguished,1
class,1
Inner,1
minimum,1
\merge,\,1
exponent,1
below:,1
basic,1
\name="\thirdP"\>Third\,1
geometrys',1
http://blog.element84.com/polygon-winding.html,1
\name="\zOffset"\>zOffset\,1
specify,1
targeting,1
[assembly:,1
\Hoffman,\,1
face.OuterHalfEdge,1
sorting,1
\plane,\,1
