File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Dokumente\Git\Fusee_Fork\src\Jometri\BinarySearchTree.cs,314,203,114,43,41,1,70,408,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Utility.cs,162,88,58,17,26,5,48,372,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\DCEL\AttributeInformation.cs,43,17,9,0,5,0,21,80,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\DCEL\Exceptions.cs,33,16,6,0,5,0,12,74,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\DCEL\Geometry.cs,1517,908,596,133,278,4,331,1862,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Extrusion\Extrude.cs,264,193,129,17,54,4,17,146,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Properties\AssemblyInfo.cs,31,15,4,0,3,0,13,67,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Triangulation\StatusEdge.cs,47,33,22,1,9,0,5,94,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Triangulation\SweepLineStatus.cs,28,24,11,5,3,0,1,18,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Triangulation\Triangulate.cs,622,491,317,89,120,2,11,130,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Triangulation\VertexType.cs,35,11,2,0,5,0,19,194,0,0
