Word,Count
/,6028
the,1649
<param,1648
of,1022
</summary>,1009
<summary>,1008
a,774
to,520
vector,380
matrix,271
instance,248
is,242
by,230
operand</param>,222
this,208
The,206
new,191
in,189
and,185
instance.</param>,181
</returns>,179
<returns>,178
given,171
for,168
row,161
two,159
operand.</param>,158
<see,136
that,124
<returns>A,118
an,116
notation,111
vector</param>,110
from,109
+,107
or,103
result,102
column,96
Gets,96
order,95
first,94
\name="\result"\>The\,94
input,92
<returns>The,90
=,89
when,88
projection,86
scalar,84
array,82
value,82
instances,81
length,81
with,79
components,79
second,77
vectors,77
if,75
Vector,74
left,74
as,74
\name="\a"\>First\,72
\name="\b"\>Second\,72
component,72
containing,71
This,71
\name="\left"\>The\,69
\name="\right"\>The\,69
\name="\vec"\>The\,69
edge,68
sets,67
Returns,66
Multiplies,65
world,64
rotation,62
angle,61
minimum,61
parameter,59
resulting,59
be,59
Result,58
\name="\result"\>Result\,54
operand,52
volume.</param>,52
\name="\scale"\>Right\,52
b,51
space,50
Defines,50
Calculate,48
component-wise,48
\name="\vector"\>Left\,48
maximum,47
</remarks>,47
y,47
unit,47
\name="\right"\>Right\,46
specified,46
camera,46
are,46
float3,45
<remarks>,45
matrix.</param>,44
inverse,44
\0,\,43
current,43
/>,43
*,43
from.</param>,43
Creates,43
double3,42
Matrix,42
values,42
right,42
at,42
major,41
not,41
copy,41
float,41
item,41
double,40
Row,40
linear,39
space</param>,38
transformed,38
another,38
operation.</param>,38
position,38
false,38
float4,37
QuaternionD,37
view,36
operation,36
-,36
\name="\f"\>Scalar\,36
Barycentric,36
ReSharper,36
Constructs,36
x,35
code,35
\name="\mat"\>The\,35
2,34
1,34
matrices,34
double4,34
Subtract,34
equal,34
\name="\scale"\>The\,34
z,34
object,34
float4x4,33
3,32
product,32
desired,32
point,32
scale,32
\y,\,32
represents,32
</value>,31
Scales,31
normalized,31
<value>,31
convert.</param>,30
Transforms,30
points,29
using,29
multiplication,29
transform</param>,29
quaternion,29
Column,28
transformation</param>,28
blend,28
Scale,28
Matrix4,28
Compares,28
negative,27
three,27
\name="\value"\>The\,27
one,27
square,27
than,26
passed,26
Transform,26
property,26
\name="\v"\>The\,26
handed,26
otherwise,25
instance.</returns>,25
\[x,\,24
used,24
Divides,24
math,24
dot,24
read,24
Calculates,24
scaling,24
zero</item>,24
frustum</param>,24
4D,24
(scale),24
Vectors,24
only,24
combination,24
\blend=0,\,24
Converts,24
\name="\a"\>Vector\,24
\name="\angle"\>The\,24
Divide,23
calculation,23
far,23
calculation.</returns>,23
Adds,23
rotate,22
purposes,22
debugging,22
whether,22
return,22
\name="\left"\>Left\,22
Only,22
counter-clockwise,22
during,22
library,22
float2,22
testing,22
3D,22
(magnitude),22
transition,22
->,22
double2,22
curve,21
its,21
vector.</param>,21
<returns></returns>,21
<seealso,21
it,21
axis,21
near,20
plane</param>,20
Build,20
///,20
InconsistentNaming,20
clip,20
<item>zNear,20
scalar.</param>,20
(same,20
factor,20
radians.</param>,20
around,19
original,19
towards,19
\name="\result"\>A\,19
result.</returns>,18
otherwise.</returns>,18
via,18
Vector</param>,18
vector),18
root,18
coordinate,18
\0),\,18
disable,18
hashcode,18
