File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Dokumente\Git\Fusee_Fork\src\Math\Conversion\ArrayConvert.cs,497,225,124,26,52,0,220,1874,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Conversion\Properties\AssemblyInfo.cs,35,14,3,0,4,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\AABBf.cs,111,68,39,10,9,0,34,218,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\Curve.cs,557,345,203,51,73,3,139,1147,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\double2.cs,1186,509,244,40,172,3,505,2190,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\double3.cs,1532,677,359,46,199,3,656,2966,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\double4.cs,1345,604,348,37,175,3,566,2457,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\double4x4.cs,1892,848,445,76,249,0,795,5000,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\float2.cs,1248,539,261,41,182,3,527,2272,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\float3.cs,1649,747,401,59,220,3,682,3095,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\float3x3.cs,514,248,106,22,81,0,185,999,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\float4.cs,1409,709,399,50,201,3,499,2377,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\float4x4.cs,2040,910,482,79,270,0,860,5331,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\M.cs,573,225,113,42,80,4,268,1341,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\Quaternion.cs,885,451,227,48,143,0,291,1530,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\QuaternionD.cs,682,337,157,38,118,0,227,1083,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\Properties\AssemblyInfo.cs,43,16,3,0,10,0,17,111,0,0
